register;points;region_1;title;price;province;region_2;variety;winery
130;91;Barolo                    ;Ceretto 2003 Bricco Rocche Brunate  (Barolo)                                                      ;70;Piedmont         ;                 ;Nebbiolo                  ;Ceretto                        
133;91;Barolo                    ;Poderi Luigi Einaudi 2003  Barolo                                                                 ;68;Piedmont         ;                 ;Nebbiolo                  ;Poderi Luigi Einaudi           
135;91;Barolo                    ;Giacomo Ascheri 2001 Sorano  (Barolo)                                                             ;60;Piedmont         ;                 ;Nebbiolo                  ;Giacomo Ascheri                
140;90;Barbera d'Alba            ;Poderi Colla 2005 Costa Bruna  (Barbera d'Alba)                                                   ;26;Piedmont         ;                 ;Barbera                   ;Poderi Colla                   
141;90;Barolo                    ;Giacomo Ascheri 2003 Vigna dei Pola  (Barolo)                                                     ;45;Piedmont         ;                 ;Nebbiolo                  ;Giacomo Ascheri                
158;91;Chianti Classico          ;Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico)                             ;38;Tuscany          ;                 ;Sangiovese                ;Castello di Gabbiano           
159;91;Brunello di Montalcino    ;Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino)                                    ;               ;Tuscany          ;                 ;Sangiovese                ;Castello Romitorio             
175;88;Alto Adige                ;Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige)                                   ;25;Northeastern Ital;                 ;Sauvignon                 ;Tenuta Peter Sölva & Söhne     
177;88;Chianti Classico          ;Isole e Olena 2005  Chianti Classico                                                              ;22;Tuscany          ;                 ;Sangiovese                ;Isole e Olena                  
182;88;Brunello di Montalcino    ;Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino)                                           ;               ;Tuscany          ;                 ;Sangiovese Grosso         ;Abbadia Ardenga                
187;88;Sicilia                   ;Abbazia Santa Anastasia 2003 Montenero Red (Sicilia)                                              ;48;Sicily & Sardinia;                 ;Red Blend                 ;Abbazia Santa Anastasia        
190;87;Campania                  ;Fattoria Alois 2007 Campole Red (Campania)                                                        ;26;Southern Italy   ;                 ;Red Blend                 ;Fattoria Alois                 
192;87;Rosso del Veronese        ;Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese)                                    ;20;Veneto           ;                 ;Red Blend                 ;Aldegheri                      
194;87;Chianti Classico          ;Campomaggio 2005  Chianti Classico                                                                ;               ;Tuscany          ;                 ;Sangiovese                ;Campomaggio                    
195;87;Vino Nobile di Montepulcia;Carpineto 2003 Riserva  (Vino Nobile di Montepulciano)                                            ;35;Tuscany          ;                 ;Prugnolo Gentile          ;Carpineto                      
196;87;Vernaccia di San Gimignano;Cesani 2007 Pancole  (Vernaccia di San Gimignano)                                                 ;18;Tuscany          ;                 ;Vernaccia                 ;Cesani                         
200;90;Brunello di Montalcino    ;Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino)                                            ;               ;Tuscany          ;                 ;Sangiovese                ;Tenuta di Sesta                
201;90;Alto Adige                ;Terlan 2014 Nova Domus Riserva White (Alto Adige)                                                 ;62;Northeastern Ital;                 ;White Blend               ;Terlan                         
216;90;Brunello di Montalcino    ;Podere Scopetone 2012  Brunello di Montalcino                                                     ;57;Tuscany          ;                 ;Sangiovese                ;Podere Scopetone               
221;90;Alto Adige                ;St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige)                                          ;40;Northeastern Ital;                 ;Pinot Bianco              ;St. Pauls                      
222;90;Brunello di Montalcino    ;Talenti 2011 Trentennale  (Brunello di Montalcino)                                                ;               ;Tuscany          ;                 ;Sangiovese                ;Talenti                        
223;90;Alto Adige                ;Terlan 2015 Pinot Bianco (Alto Adige)                                                             ;               ;Northeastern Ital;                 ;Pinot Bianco              ;Terlan                         
234;85;Montepulciano d'Abruzzo   ;Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo)                                          ;10;Central Italy    ;                 ;Montepulciano             ;Talamonti                      
237;85;San Marino                ;Consorzio Vini Tipici di San Marino NV Moscato (San Marino)                                       ;18;Central Italy    ;                 ;Moscato                   ;Consorzio Vini Tipici di San Ma
267;89;Torgiano                  ;Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano)                                     ;40;Central Italy    ;                 ;White Blend               ;Lungarotti                     
268;89;Veneto                    ;Marchesi Fumanelli 2005 Terso White (Veneto)                                                      ;36;Veneto           ;                 ;White Blend               ;Marchesi Fumanelli             
270;89;Colli Orientali del Friuli;Livio Felluga 2009 Friulano (Colli Orientali del Friuli)                                          ;25;Northeastern Ital;                 ;Friulano                  ;Livio Felluga                  
272;89;Alto Adige                ;Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige)                                              ;26;Northeastern Ital;                 ;Pinot Bianco              ;Nals Margreid                  
274;89;Monferrato                ;Pico Maccario 2010 Estrosa White (Monferrato)                                                     ;13;Piedmont         ;                 ;White Blend               ;Pico Maccario                  
279;89;Alto Adige                ;Franz Haas 2009 Sauvignon (Alto Adige)                                                            ;52;Northeastern Ital;                 ;Sauvignon                 ;Franz Haas                     
282;92;Toscana                   ;I Giusti e Zanza 2009 Dulcamara Red (Toscana)                                                     ;41;Tuscany          ;                 ;Red Blend                 ;I Giusti e Zanza               
291;92;Sagrantino di Montefalco  ;Dionigi 2006  Sagrantino di Montefalco                                                            ;               ;Central Italy    ;                 ;Sagrantino                ;Dionigi                        
299;87;Langhe                    ;Attilio Ghisolfi 2007 Pinay Red (Langhe)                                                          ;               ;Piedmont         ;                 ;Red Blend                 ;Attilio Ghisolfi               
302;87;Roero                     ;Cantina del Nebbiolo 2008  Roero                                                                  ;               ;Piedmont         ;                 ;Nebbiolo                  ;Cantina del Nebbiolo           
303;87;Barolo                    ;Cascina Adelaide 2005 4 Vigne  (Barolo)                                                           ;56;Piedmont         ;                 ;Nebbiolo                  ;Cascina Adelaide               
304;87;Barbera d'Asti Superiore N;Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza)                                 ;               ;Piedmont         ;                 ;Barbera                   ;Cascina La Ghersa              
309;87;Langhe                    ;Socré 2006 Nebbiolo (Langhe)                                                                      ;20;Piedmont         ;                 ;Nebbiolo                  ;Socré                          
310;87;Langhe                    ;Boffa 2006 Nebbiolo (Langhe)                                                                      ;18;Piedmont         ;                 ;Nebbiolo                  ;Boffa                          
313;87;Roero                     ;Rabino 2008  Roero                                                                                ;               ;Piedmont         ;                 ;Nebbiolo                  ;Rabino                         
315;86;Prosecco di Valdobbiadene ;Bellussi NV Extra Dry  (Prosecco di Valdobbiadene)                                                ;15;Veneto           ;                 ;Prosecco                  ;Bellussi                       
319;86;Veneto                    ;Paladin 2007 Millesimato Brut Prosecco (Veneto)                                                   ;20;Veneto           ;                 ;Prosecco                  ;Paladin                        
320;86;Prosecco di Valdobbiadene ;Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene)                      ;22;Veneto           ;                 ;Prosecco                  ;Perlage                        
321;86;Prosecco di Valdobbiadene ;Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene)                                               ;16;Veneto           ;                 ;Prosecco                  ;Sant Eurosia                   
322;86;Prosecco di Valdobbiadene ;Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene)                                    ;18;Veneto           ;                 ;Prosecco                  ;Sant Eurosia                   
324;86;Prosecco di Conegliano    ;L'Antica Quercia 2007 Matiú Brut  (Prosecco di Conegliano)                                        ;12;Veneto           ;                 ;Prosecco                  ;L'Antica Quercia               
326;86;Prosecco di Valdobbiadene ;Marsuret NV Extra Dry  (Prosecco di Valdobbiadene)                                                ;15;Veneto           ;                 ;Prosecco                  ;Marsuret                       
332;86;Prosecco di Conegliano    ;Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano)                                         ;19;Veneto           ;                 ;Prosecco                  ;Sommariva                      
333;86;Prosecco di Valdobbiadene ;Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene)                                     ;18;Veneto           ;                 ;Prosecco                  ;Spagnol                        
335;86;Prosecco di Conegliano    ;L'Antica Quercia 2007 Arió Extra Dry  (Prosecco di Conegliano)                                    ;15;Veneto           ;                 ;Prosecco                  ;L'Antica Quercia               
350;97;Barolo                    ;Cavallotto 2010 Vignolo Riserva  (Barolo)                                                         ;150;Piedmont         ;                 ;Nebbiolo                  ;Cavallotto                     
361;95;Barolo                    ;Bel Colle 2012 Simposio  (Barolo)                                                                 ;60;Piedmont         ;                 ;Nebbiolo                  ;Bel Colle                      
366;88;Alto Adige                ;Cantina Terlano 2000 Vorberg Pinot Bianco (Alto Adige)                                            ;21;Northeastern Ital;                 ;Pinot Bianco              ;Cantina Terlano                
368;88;Bianco di Custoza         ;Montresor 2001  Bianco di Custoza                                                                 ;11;Veneto           ;                 ;Garganega                 ;Montresor                      
369;88;Friuli                    ;Ronco del Gelso 1999 Chardonnay (Friuli)                                                          ;21;Northeastern Ital;                 ;Chardonnay                ;Ronco del Gelso                
371;88;Alto Adige                ;Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige)                                     ;23;Northeastern Ital;                 ;Sauvignon Blanc           ;Elena Walch                    
372;88;Soave                     ;Gini 2002 Classico  (Soave)                                                                       ;10;Veneto           ;                 ;White Blend               ;Gini                           
373;88;Collio                    ;Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio)                                    ;15;Northeastern Ital;                 ;Sauvignon Blanc           ;Borgo Conventi                 
375;88;Toscana                   ;Valiano 1997 Vino in Musica Sangiovese (Toscana)                                                  ;40;Tuscany          ;                 ;Sangiovese                ;Valiano                        
376;88;Colli Orientali del Friuli;Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli)                          ;18;Northeastern Ital;                 ;Pinot Grigio              ;Volpe Pasini                   
379;88;Trentino                  ;La Vis 2001 Bianco dei Sorni White (Trentino)                                                     ;15;Northeastern Ital;                 ;White Blend               ;La Vis                         
381;88;Bianco di Custoza         ;Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza)                                                ;11;Veneto           ;                 ;White Blend               ;Fratelli Zeni                  
383;88;Valdadige                 ;Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige)                                         ;9;Veneto           ;                 ;Chardonnay                ;Tommasi                        
384;88;Alto Adige                ;San Michele Eppan 2002 Sanct Valentin Gewürztraminer (Alto Adige)                                 ;30;Northeastern Ital;                 ;Gewürztraminer            ;San Michele Eppan              
389;88;Alto Adige                ;Cantina Terlano 2002 Terlano Classico White (Alto Adige)                                          ;15;Northeastern Ital;                 ;White Blend               ;Cantina Terlano                
395;87;Collio                    ;Conti Formentini 2001 Rylint White (Collio)                                                       ;               ;Northeastern Ital;                 ;White Blend               ;Conti Formentini               
399;85;Prosecco di Valdobbiadene ;Astoria 2008 Extra Dry  (Prosecco di Valdobbiadene)                                               ;24;Veneto           ;                 ;Prosecco                  ;Astoria                        
400;85;Italy                     ;Cantine Maschio NV Brut Prosecco (Italy)                                                          ;13;Italy Other      ;                 ;Prosecco                  ;Cantine Maschio                
401;85;Prosecco di Valdobbiadene ;Val d'Oca 2008 Millesimato Extra Dry  (Prosecco di Valdobbiadene)                                 ;19;Veneto           ;                 ;Prosecco                  ;Val d'Oca                      
405;85;Prosecco del Veneto       ;Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto)                                             ;19;Veneto           ;                 ;Prosecco                  ;Viticoltori Ponte              
408;85;Prosecco di Conegliano e V;Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene)            ;15;Veneto           ;                 ;Prosecco                  ;Le Vigne di Alice              
412;85;Prosecco di Valdobbiadene ;Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene)                                              ;20;Veneto           ;                 ;Prosecco                  ;Perlage                        
413;85;Prosecco del Veneto       ;Pizzolato 2007  Prosecco del Veneto                                                               ;13;Veneto           ;                 ;Prosecco                  ;Pizzolato                      
414;85;Prosecco del Veneto       ;Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto)                                             ;16;Veneto           ;                 ;Prosecco                  ;Pizzolato                      
416;85;Prosecco del Veneto       ;Ca'Tullio NV Extra Dry  (Prosecco del Veneto)                                                     ;14;Veneto           ;                 ;Prosecco                  ;Ca'Tullio                      
417;85;Prosecco del Veneto       ;Pizzolato NV  Prosecco del Veneto                                                                 ;               ;Veneto           ;                 ;Prosecco                  ;Pizzolato                      
434;89;Barolo                    ;Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo)                                            ;89;Piedmont         ;                 ;Nebbiolo                  ;Revello Fratelli               
436;89;Gavi                      ;Tenuta La Marchesa 2015 Gold Label  (Gavi)                                                        ;15;Piedmont         ;                 ;Cortese                   ;Tenuta La Marchesa             
445;88;Etna                      ;Fattorie Romeo del Castello 2015 Vigorosa Rosato Nerello Mascalese (Etna)                         ;28;Sicily & Sardinia;                 ;Nerello Mascalese         ;Fattorie Romeo del Castello    
449;92;Franciacorta              ;Majolini 2006 Pas Dosé Aligi Sassu Chardonnay (Franciacorta)                                      ;39;Lombardy         ;                 ;Chardonnay                ;Majolini                       
451;92;Vino Nobile di Montepulcia;Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano)                                     ;35;Tuscany          ;                 ;Sangiovese                ;Montemercurio                  
458;92;Franciacorta              ;Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta)                                     ;50;Lombardy         ;                 ;Sparkling Blend           ;Bellavista                     
465;92;Amarone della Valpolicella;Valentina Cubi 2008 Morar  (Amarone della Valpolicella)                                           ;69;Veneto           ;                 ;Red Blend                 ;Valentina Cubi                 
479;87;Cannonau di Sardegna      ;Santa Maria La Palma 2006 Riserva  (Cannonau di Sardegna)                                         ;15;Sicily & Sardinia;                 ;Cannonau                  ;Santa Maria La Palma           
481;87;Isola dei Nuraghi         ;Argiolas 2008 Costera Cannonau (Isola dei Nuraghi)                                                ;18;Sicily & Sardinia;                 ;Cannonau                  ;Argiolas                       
487;87;Colli Orientali del Friuli;Marco Cecchini 2010 Tovè White (Colli Orientali del Friuli)                                       ;15;Northeastern Ital;                 ;White Blend               ;Marco Cecchini                 
488;87;Friuli Grave              ;Vigneti Le Monde 2010 Pinot Grigio (Friuli Grave)                                                 ;18;Northeastern Ital;                 ;Pinot Grigio              ;Vigneti Le Monde               
489;87;Friuli Grave              ;Vigneti Le Monde 2010 Sauvignon (Friuli Grave)                                                    ;13;Northeastern Ital;                 ;Sauvignon                 ;Vigneti Le Monde               
506;87;Venezia Giulia            ;Altùris 2011 White (Venezia Giulia)                                                               ;12;Northeastern Ital;                 ;White Blend               ;Altùris                        
542;93;Alto Adige Valle Isarco   ;Abbazia di Novacella 2012 Praepositus Passito Kerner (Alto Adige Valle Isarco)                    ;30;Northeastern Ital;                 ;Kerner                    ;Abbazia di Novacella           
549;93;Barolo                    ;Brandini 2011 Resa 56  (Barolo)                                                                   ;90;Piedmont         ;                 ;Nebbiolo                  ;Brandini                       
572;89;Dolcetto d'Alba           ;Brezza 2015  Dolcetto d'Alba                                                                      ;15;Piedmont         ;                 ;Dolcetto                  ;Brezza                         
600;87;Gavi                      ;Michele Chiarlo 2011 Le Marne  (Gavi)                                                             ;19;Piedmont         ;                 ;Cortese                   ;Michele Chiarlo                
614;87;Soave Classico            ;Suavia 2011  Soave Classico                                                                       ;19;Veneto           ;                 ;Garganega                 ;Suavia                         
617;87;Conegliano Valdobbiadene P;Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)        ;25;Veneto           ;                 ;Glera                     ;Bacio della Luna               
619;87;Piedmont                  ;Borgo Maragliano NV Brut Chardonnay (Piedmont)                                                    ;16;Piedmont         ;                 ;Chardonnay                ;Borgo Maragliano               
620;87;Conegliano Valdobbiadene P;Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore)                                  ;20;Veneto           ;                 ;Glera                     ;Bortolotti                     
625;87;Soave                     ;Corte Falco 2010  Soave                                                                           ;15;Veneto           ;                 ;Garganega                 ;Corte Falco                    
626;87;Gambellara Classico       ;Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico)                                       ;23;Veneto           ;                 ;Garganega                 ;Domenico Cavazza               
627;87;Monferrato                ;Cascina La Ghersa 2009 Sivoy White (Monferrato)                                                   ;19;Piedmont         ;                 ;White Blend               ;Cascina La Ghersa              
650;92;Collio                    ;Sturm 2014 Sauvignon (Collio)                                                                     ;24;Northeastern Ital;                 ;Sauvignon                 ;Sturm                          
662;90;Barolo                    ;Palladino 2011 Ornato  (Barolo)                                                                   ;65;Piedmont         ;                 ;Nebbiolo                  ;Palladino                      
664;90;Dogliani Superiore        ;Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore)                                                ;35;Piedmont         ;                 ;Dolcetto                  ;Pecchenino                     
665;90;Barbera d'Alba            ;Poderi Colla 2013 Costa Bruna  (Barbera d'Alba)                                                   ;25;Piedmont         ;                 ;Barbera                   ;Poderi Colla                   
677;90;Cortona                   ;Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona)                                          ;50;Tuscany          ;                 ;Syrah                     ;Baracchi Riccardo              
678;90;Cortona                   ;Baracchi Riccardo 2012 Smeriglio Syrah (Cortona)                                                  ;35;Tuscany          ;                 ;Syrah                     ;Baracchi Riccardo              
682;90;Piemonte                  ;Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte)                                      ;45;Piedmont         ;                 ;Pinot Nero                ;Castello di Neive              
683;90;Colli della Toscana Centra;Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale)                              ;70;Tuscany          ;                 ;Red Blend                 ;Castello di Querceto           
686;90;Barolo                    ;Comm. G. B. Burlotto 2011 Acclivi  (Barolo)                                                       ;53;Piedmont         ;                 ;Nebbiolo                  ;Comm. G. B. Burlotto           
692;91;Morellino di Scansano     ;Poggio Argentiera 2012 Capatosta  (Morellino di Scansano)                                         ;35;Tuscany          ;                 ;Red Blend                 ;Poggio Argentiera              
695;91;Chianti Classico          ;Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico)                                ;43;Tuscany          ;                 ;Red Blend                 ;Ruffino                        
725;85;Barolo                    ;Paolo Manzone 2012 Meriame  (Barolo)                                                              ;80;Piedmont         ;                 ;Nebbiolo                  ;Paolo Manzone                  
739;85;Barolo                    ;Marchesi di Barolo 2009 Riserva  (Barolo)                                                         ;102;Piedmont         ;                 ;Nebbiolo                  ;Marchesi di Barolo             
744;85;Barbaresco                ;Punset 2011 Campo Quadro Riserva  (Barbaresco)                                                    ;48;Piedmont         ;                 ;Nebbiolo                  ;Punset                         
769;87;Aglianico del Vulture     ;Paternoster 2007 Synthesi  (Aglianico del Vulture)                                                ;30;Southern Italy   ;                 ;Aglianico                 ;Paternoster                    
777;92;Colli Orientali del Friuli;Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli)                                          ;18;Northeastern Ital;                 ;Verduzzo                  ;Scubla                         
780;92;Vin Santo del Chianti Clas;Castello d'Albola 2003  Vin Santo del Chianti Classico                                            ;50;Tuscany          ;                 ;White Blend               ;Castello d'Albola              
781;92;Trento                    ;Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento)                             ;85;Northeastern Ital;                 ;Chardonnay                ;Ferrari                        
808;90;Verdicchio dei Castelli di;Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico)                                  ;32;Central Italy    ;                 ;Verdicchio                ;Moncaro                        
814;86;Rosso di Montalcino       ;Valdicava 2012  Rosso di Montalcino                                                               ;               ;Tuscany          ;                 ;Sangiovese                ;Valdicava                      
822;86;Rosso di Montalcino       ;Ridolfi 2012  Rosso di Montalcino                                                                 ;20;Tuscany          ;                 ;Sangiovese                ;Ridolfi                        
825;86;Brunello di Montalcino    ;Tenuta Poggio il Castellare 2009  Brunello di Montalcino                                          ;70;Tuscany          ;                 ;Sangiovese                ;Tenuta Poggio il Castellare    
826;86;Rosso di Montalcino       ;Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino)                                         ;28;Tuscany          ;                 ;Sangiovese                ;Tenuta San Giorgio             
833;86;Nebbiolo d'Alba           ;Dosio 2012  Nebbiolo d'Alba                                                                       ;30;Piedmont         ;                 ;Nebbiolo                  ;Dosio                          
844;90;Etna                      ;Cottanera 2015 Bianco  (Etna)                                                                     ;24;Sicily & Sardinia;                 ;Carricante                ;Cottanera                      
845;90;Terre Siciliane           ;CVA Canicattì 2015 Aquilae Bio Grillo (Terre Siciliane)                                           ;               ;Sicily & Sardinia;                 ;Grillo                    ;CVA Canicattì                  
856;90;Sannio                    ;Fattoria La Rivolta 2015 Taburno Fiano (Sannio)                                                   ;25;Southern Italy   ;                 ;Fiano                     ;Fattoria La Rivolta            
861;90;Etna                      ;Graci 2015 Rosso  (Etna)                                                                          ;30;Sicily & Sardinia;                 ;Nerello Mascalese         ;Graci                          
862;90;Etna                      ;Tornatore 2015 Rosato (Etna)                                                                      ;19;Sicily & Sardinia;                 ;Rosato                    ;Tornatore                      
865;90;Sicilia                   ;Baglio del Cristo di Campobello 2015 Laluci White (Sicilia)                                       ;               ;Sicily & Sardinia;                 ;White Blend               ;Baglio del Cristo di Campobello
877;90;Bolgheri Superiore        ;Ceralti 2008 Alfeo  (Bolgheri Superiore)                                                          ;               ;Tuscany          ;                 ;Red Blend                 ;Ceralti                        
883;90;Bolgheri Superiore        ;I Luoghi 2008 Campo al Fico  (Bolgheri Superiore)                                                 ;               ;Tuscany          ;                 ;Red Blend                 ;I Luoghi                       
894;90;Morellino di Scansano     ;Jacopo Biondi-Santi 2008 Castello di Montepò  (Morellino di Scansano)                             ;29;Tuscany          ;                 ;Sangiovese                ;Jacopo Biondi-Santi            
895;90;Toscana                   ;Le Buche 2006 Giuseppe Olivi Memento Red (Toscana)                                                ;45;Tuscany          ;                 ;Red Blend                 ;Le Buche                       
898;90;Toscana                   ;Marsiliana 2005 Red (Toscana)                                                                     ;               ;Tuscany          ;                 ;Red Blend                 ;Marsiliana                     
899;90;Chianti Classico          ;Mazzei 2009 Fonterutoli  (Chianti Classico)                                                       ;28;Tuscany          ;                 ;Sangiovese                ;Mazzei                         
